Date,Open,High,Low,Close,Volume,volume * close,13-Vwap,20- Vwap,,,intc
20210112  16:30:00,51.9,52,51.56,51.73,8628,446326.44,52.64862335,52.92498674,,,
20210112  16:35:00,51.73,52.25,51.67,52.23,7114,371564.22,52.73589836,,,,
20210112  16:40:00,52.23,52.24,51.98,52.02,3526,183422.52,52.80586012,,,,
20210112  16:45:00,52.03,52.06,51.89,51.96,2376,123456.96,52.86777255,,,,
20210112  16:50:00,51.96,52.09,51.83,52.07,2458,127988.06,52.93979524,,,,
20210112  16:55:00,52.07,52.46,52.06,52.43,4177,219000.11,53.00195116,,,,
20210112  17:00:00,52.44,52.67,52.41,52.66,5436,286259.76,53.1017641,,,,
20210112  17:05:00,52.66,52.88,52.66,52.83,6780,358187.4,53.18899755,,,,
20210112  17:10:00,52.83,52.97,52.74,52.75,4221,222657.75,53.27206946,,,,
20210112  17:15:00,52.75,52.92,52.73,52.91,3711,196349.01,53.32278197,,,,
20210112  17:20:00,52.91,53.12,52.89,52.9,10757,569045.3,53.43509434,,,,
20210112  17:25:00,52.9,53.05,52.82,52.96,5508,291703.68,53.50387684,,,,
20210112  17:30:00,52.96,53.16,52.93,53.15,4104,218127.6,53.5449737,,,,
20210112  17:35:00,53.15,53.24,53.11,53.2,3560,189392,53.57183271,,,,
20210112  17:40:00,53.2,53.3,53.14,53.14,3561,189231.54,53.59197167,,,,
20210112  17:45:00,53.15,53.31,53.14,53.25,3533,188132.25,53.60817383,,,,
20210112  17:50:00,53.25,53.44,53.23,53.36,4820,257195.2,53.61710662,,,,
20210112  17:55:00,53.37,53.45,53.29,53.3,4532,241555.6,53.62888587,,,,
20210112  18:00:00,53.3,53.54,53.22,53.54,8305,444649.7,53.62157251,,,,
20210112  18:05:00,53.54,53.69,53.51,53.66,6573,352707.18,53.59757413,,,,
20210112  18:10:00,53.66,53.84,53.66,53.84,5362,288690.08,53.55301426,,,,
20210112  18:15:00,53.84,53.85,53.59,53.7,4587,246321.9,53.53388435,,,,
20210112  18:20:00,53.69,53.78,53.59,53.72,5500,295460,53.50956258,,,,
20210112  18:25:00,53.73,53.8,53.7,53.71,5470,293793.7,53.48603633,,,,
20210112  18:30:00,53.71,53.74,53.61,53.7,5425,291322.5,53.45740256,,,,
20210112  18:35:00,53.7,53.77,53.65,53.65,4104,220179.6,53.44888794,,,,
20210112  18:40:00,53.65,53.78,53.53,53.55,8707,466259.85,53.44389855,,,,
20210112  18:45:00,53.55,53.74,53.53,53.55,3115,166808.25,53.43817127,,,,
20210112  18:50:00,53.55,53.56,53.4,53.48,4706,251676.88,53.43736109,,,,
20210112  18:55:00,53.47,53.5,53.33,53.41,3237,172888.17,53.44321408,,,,
20210112  19:00:00,53.42,53.48,53.23,53.24,3023,160944.52,53.45968065,,,,
20210112  19:05:00,53.23,53.37,53.16,53.37,4504,240378.48,53.46973644,,,,
20210112  19:10:00,53.36,53.41,53.28,53.3,4087,217837.1,53.49070136,,,,
20210112  19:15:00,53.3,53.44,53.25,53.43,3063,163656.09,53.49439917,,,,
20210112  19:20:00,53.43,53.46,53.38,53.43,2248,120110.64,53.49682976,,,,
20210112  19:25:00,53.43,53.51,53.39,53.49,2279,121903.71,53.49381373,,,,
20210112  19:30:00,53.48,53.48,53.35,53.43,2649,141536.07,53.5062482,,,,
20210112  19:35:00,53.43,53.59,53.4,53.53,5376,287777.28,53.50212151,,,,
20210112  19:40:00,53.53,53.6,53.47,53.58,5065,271382.7,53.48092409,,,,
20210112  19:45:00,53.59,53.62,53.48,53.51,1393,74539.43,53.47797349,,,,
20210112  19:50:00,53.52,53.58,53.5,53.55,1482,79361.1,53.45652828,,,,
20210112  19:55:00,53.54,53.56,53.49,53.51,1756,93963.56,53.44509774,,,,
20210112  20:00:00,53.51,53.53,53.43,53.43,1889,100929.27,53.4408413,,,,
20210112  20:05:00,53.43,53.44,53.34,53.41,1495,79847.95,53.43428615,,,,
20210112  20:10:00,53.41,53.44,53.35,53.44,1817,97100.48,53.40633961,,,,
20210112  20:15:00,53.44,53.48,53.4,53.43,1311,70046.73,53.38794761,,,,
20210112  20:20:00,53.43,53.45,53.41,53.43,1202,64222.86,53.36672183,,,,
20210112  20:25:00,53.43,53.48,53.35,53.46,2729,145892.34,53.31679289,,,,
20210112  20:30:00,53.46,53.61,53.43,53.57,2325,124550.25,53.28017727,,,,
20210112  20:35:00,53.57,53.6,53.5,53.53,1255,67180.15,53.25306347,,,,
20210112  20:40:00,53.51,53.53,53.46,53.48,1041,55672.68,53.19673463,,,,
20210112  20:45:00,53.48,53.53,53.45,53.47,1693,90524.71,53.17206399,,,,
20210112  20:50:00,53.47,53.47,53.33,53.34,2491,132869.94,53.14874642,,,,
20210112  20:55:00,53.34,53.44,53.32,53.39,2289,122209.71,53.1206152,,,,
20210112  21:00:00,53.39,53.46,53.36,53.4,2746,146636.4,53.09053403,,,,
20210112  21:05:00,53.4,53.41,53.31,53.34,1942,103586.28,53.07214257,,,,
20210112  21:10:00,53.34,53.35,53.16,53.18,2550,135609,53.05771913,,,,
20210112  21:15:00,53.19,53.26,53.15,53.23,2396,127539.08,53.04133128,,,,
20210112  21:20:00,53.23,53.28,53.16,53.16,2164,115038.24,53.03240629,,,,
20210112  21:25:00,53.17,53.19,53.03,53.1,4098,217603.8,53.02206193,,,,
